Homem_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,pontuacao_0,pontuacao_1,pontuacao_2,pontuacao_3,pontuacao_4,pontuacao_5,pontuacao_6,pontuacao_7,pontuacao_8,pontuacao_9,pontuacao_10,pontuacao_11,pontuacao_12,pontuacao_13,pontuacao_14,pontuacao_15,pontuacao_16,pontuacao_17,pontuacao_18,pontuacao_19,pontuacao_20,pontuacao_21,pontuacao_22,pontuacao_23,pontuacao_24,pontuacao_25,pontuacao_26,pontuacao_27,pontuacao_28,pontuacao_29,pontuacao_30,pontuacao_31,pontuacao_32,pontuacao_33,pontuacao_34,pontuacao_35,pontuacao_36,pontuacao_37,pontuacao_38,pontuacao_39,pontuacao_40,pontuacao_41,pontuacao_42,pontuacao_43,pontuacao_44,pontuacao_45,pontuacao_46,pontuacao_47
325,18.0,46.0,18.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,18.0,19.0,34.0,42.0,46.0,61.0,83.0,136.0,155.0,206.0,225.0,231.0,345.0,395.0,409.0,422.0,18.0,19.0,34.0,42.0,46.0,61.0,83.0,136.0,155.0,206.0,225.0,231.0,345.0,395.0,409.0,422.0,18.0,19.0,34.0,42.0,46.0,61.0,83.0,136.0,155.0,206.0,225.0,231.0,345.0,395.0,409.0,422.0,16,3,13,11,14,0,12,13,11,8,11,2,2,1,15,5,16,3,13,11,14,0,12,13,11,8,11,2,2,1,15,5,16,3,13,11,14,0,12,13,11,8,11,2,2,1,15,5
176,19.0,205.0,453.0,19.0,205.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,14,17,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,394.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,42.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,19.0,42.0,51.0,83.0,205.0,206.0,345.0,422.0,453.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,9,13,8,1,11,14,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,19.0,42.0,51.0,83.0,205.0,206.0,422.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,6,10,8,8,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,18.0,19.0,34.0,42.0,83.0,206.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,14,12,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,21.0,66.0,281.0,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,18.0,19.0,34.0,42.0,61.0,83.0,206.0,231.0,345.0,395.0,409.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,14,11,7,13,1,11,11,8,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,18.0,19.0,34.0,42.0,46.0,51.0,61.0,83.0,136.0,205.0,206.0,231.0,345.0,395.0,409.0,422.0,453.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,9,7,9,6,7,10,9,10,10,9,9,9,13,10,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,19.0,34.0,83.0,136.0,155.0,225.0,231.0,281.0,415.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,9,10,8,8,7,16,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,205.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,19.0,83.0,205.0,206.0,422.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,1,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,18.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
